price,short_description,color,image_source,general_description,size,material,manufacturer_location,manufacturer_name,manufacturer_address,manufacturer_num_workers,brand
$39.99,Oversized Shirt,Denim blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F69%2Fd5%2F69d577a2cbb2cfa6ff2b67e3f26f69af86b3dda1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in soft, cotton-blend denim. Collar, buttons at front, yoke at back with box pleat, and open chest pocket. Dropped shoulders and wide sleeves with button at cuffs.",FitOversized,CompositionCotton 100%,Bangladesh,CUTTING EDGE INDUSTRIES LTD,"1612, Dakhin Salna, Salna Bazar, Sadar, 1702, Gazipur",3501-4000,H&M
$19.99,Peplum Shirt,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcc%2F53%2Fcc53904e54329e725c9899c56906a129340630b0.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven cotton fabric with a collar, buttons at front, and long sleeves with button at cuffs. Wide, gathered peplum.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$34.99,Denim Shirt,Light denim blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fad%2Ff0%2Fadf003951830019390631247a35fb200c7f5b838.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in soft, washed denim. Collar, snap fasteners at front, and chest pockets with flap and snap fastener. Decorative seam at shoulders and long sleeves with snap fastener at cuffs. Rounded hem. Polyester content is partly recycled.",,CompositionCotton 100%,Bangladesh,CUTTING EDGE INDUSTRIES LTD,"1612, Dakhin Salna, Salna Bazar, Sadar, 1702, Gazipur",3501-4000,H&M
$29.99,Oversized Corduroy Shirt,Beige,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F9c%2F8e%2F9c8e455a39674d79859b85b4fe0ea28e6147fc91.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],"Oversized shirt in cotton corduroy. Collar, covered buttons at front, and large, open chest pockets. Dropped shoulders, long, wide sleeves, and covered button at cuffs. Rounded hem.",FitOversized,CompositionCotton 100%,China,GOLD STAR FASHION LIMITED,"South of Shuguang Road, Wenshang City, 272000, Jining",101-500,H&M
$19.99,Cotton Shirt,Black/white plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd9%2F38%2Fd9389bc9278fde99b3ec97d9c946e189cc30f3a1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$29.99,Cotton Flannel Shirt,Light pink/black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F31%2F25%2F3125810ed52c364ff3efb19a873dae0ffb345e4a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Relaxed-fit shirt in cotton flannel with a collar. Buttons at front, yoke at back, and large chest pockets. Dropped shoulders and long sleeves with button at cuffs. Rounded hem.",,CompositionCotton 100%,Bangladesh,NEWAGE APPARELS LIMITED,"Nischintapur, Purbo Narsinghapur, Zirabo, Ashulia, Savar, 1341, Dhaka",5001-5500,H&M
$19.99,H&M+,Light purple/white plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fdd%2Fef%2Fddef3771d862af204f675190f50f5b42bb5cc0b7.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_plus_shirtsblouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven cotton fabric. Collar, buttons at front, and a yoke at back with pleat. Chest pocket and long sleeves with button at cuffs.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$39.99,Oversized Denim Shirt,Denim blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F64%2F8e%2F648e533255939be7ce26c81ac66fd781e61b4ff3.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in thick cotton denim. Collar, metal buttons at front, and yoke at back. Chest pockets with flap and button, dropped shoulders, and long sleeves with button at cuffs. Rounded hem.",FitOversized,CompositionCotton 100%,Bangladesh,CUTTING EDGE INDUSTRIES LTD,"1612, Dakhin Salna, Salna Bazar, Sadar, 1702, Gazipur",3501-4000,H&M
$29.99,Wide Smocked-waist Blouse,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff3%2F70%2Ff3703a48f7aa214b1cd7b8421120e306d5aa2df9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Wide-cut blouse in woven cotton fabric with wide smocking at waist. Collar, buttons at front, and wide balloon sleeves with long, close-fitting cuffs with two buttons. Gently flared lower section with rounded hem.",,"CompositionShell: Cotton 100%Elastic section: Polyester 58%, Elastane 42%",India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$19.99,Cotton Shirt,Beige/black plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F27%2F09%2F27093e45bbb5a2999bcf04a0ded894b7e1927b4d.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
