price,short_description,image_source,general_description,size,material,manufacturer_location,manufacturer_name,manufacturer_address,manufacturer_num_workers,brand
$39.99,Denim blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F69%2Fd5%2F69d577a2cbb2cfa6ff2b67e3f26f69af86b3dda1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in soft, cotton-blend denim. Collar, buttons at front, yoke at back with box pleat, and open chest pocket. Dropped shoulders and wide sleeves with button at cuffs.",FitOversized,CompositionCotton 100%,Bangladesh,CUTTING EDGE INDUSTRIES LTD,"1612, Dakhin Salna, Salna Bazar, Sadar, 1702, Gazipur",3501-4000,H&M
$19.99,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcc%2F53%2Fcc53904e54329e725c9899c56906a129340630b0.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven cotton fabric with a collar, buttons at front, and long sleeves with button at cuffs. Wide, gathered peplum.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$34.99,Light denim blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fad%2Ff0%2Fadf003951830019390631247a35fb200c7f5b838.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in soft, washed denim. Collar, snap fasteners at front, and chest pockets with flap and snap fastener. Decorative seam at shoulders and long sleeves with snap fastener at cuffs. Rounded hem. Polyester content is partly recycled.",,CompositionCotton 100%,Bangladesh,CUTTING EDGE INDUSTRIES LTD,"1612, Dakhin Salna, Salna Bazar, Sadar, 1702, Gazipur",3501-4000,H&M
$29.99,Beige,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F9c%2F8e%2F9c8e455a39674d79859b85b4fe0ea28e6147fc91.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],"Oversized shirt in cotton corduroy. Collar, covered buttons at front, and large, open chest pockets. Dropped shoulders, long, wide sleeves, and covered button at cuffs. Rounded hem.",FitOversized,CompositionCotton 100%,China,GOLD STAR FASHION LIMITED,"South of Shuguang Road, Wenshang City, 272000, Jining",101-500,H&M
$19.99,Black/white plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd9%2F38%2Fd9389bc9278fde99b3ec97d9c946e189cc30f3a1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$138,Cropped tie-front blouse,https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_77944_19637_on_a.jpg,"Cropped tie-front blouse SAFFRON ORANGE
BLACK
SAND
GREY TAUPE
AVORIO
FRESCO PINK
ESPACE
CLASSIC NAVY
COOL BEIGE
TANNIN
DUSTY MAUVE","2XS
XS
S
M
L
XL",Content: 100% cupro,Origin: Fabric from Japan,,,,Aritzia
$128,Cropped chiffon prairie blouse,https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_73624_1565_on_a.jpg,"Cropped chiffon prairie blouse COFFEE BEAN
BLACK
LIGHT BIRCH
SHADOW BLUE
TURNER TAUPE
BIRCH
NIGHT BIRD
PISTACHIO PUDDING
SILVER SAGE GREEN","2XS
XS
S
M
L
XL","Content: 100% polyester; Trim: 69% polyester, 31% rubber",,,,,Aritzia
$98,Puff-sleeve smocked prairie blouse,https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_82505_19328_on_a.jpg,"Puff-sleeve smocked prairie blouse SPARROW TAUPE
BLACK
SAGE FROST
LIGHT BIRCH","2XS
XS
S
M
L
XL","Content: 50% recycled polyester, 50% polyester ",,,,,Aritzia
$148,Relaxed-fit shirt jacket,https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_77541_19496_on_a.jpg,"Relaxed-fit shirt jacket BASALT GREY
LIGHT BIRCH
BLACK
GREY TAUPE","2XS
XS
S
M
L",Content: 100% polyester,,,,,Aritzia
$138,Satin button-up shirt,https://aritzia.scene7.com/is/image/Aritzia/medium/s21_04_a02_79295_19469_on_a.jpg,"Satin button-up shirt HEIRLOOM PINK
AVORIO
GREY TAUPE
SAGE FROST","2XS
XS
S
M
L",Content: 100% polyester,Origin: Fabric from Japan,,,,Aritzia
